Country;YearsCodingProf;DevType;Salary;SalaryType;CurrencySymbol
Spain;6-8 years;Back-end developer;35000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Data or business analyst;Designer;Front-end developer;Mobile developer";20000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Database administrator;Front-end developer;Full-stack developer;Game or graphics developer;Mobile developer";25800;Yearly;EUR
Spain;3-5 years;"Back-end developer;Desktop or enterprise applications developer;Front-end developer;Mobile developer";21000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Front-end developer;Full-stack developer;Product manager;QA or test developer";30000;Yearly;EUR
Spain;3-5 years;Back-end developer;56000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Front-end developer;Full-stack developer";16000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Desktop or enterprise applications developer;DevOps specialist;Educator or academic researcher;Embedded applications or devices developer;Game or graphics developer;Mobile developer;System administrator";26000;Yearly;EUR
Spain;0-2 years;Front-end developer;16000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer";28000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Full-stack developer";32000;Yearly;EUR
Spain;3-5 years;Front-end developer;36000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Front-end developer";19000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Full-stack developer";49000;Yearly;EUR
Spain;6-8 years;Back-end developer;37000;Yearly;EUR
Spain;18-20 years;"Designer;Front-end developer;Game or graphics developer;Mobile developer";50000;Yearly;EUR
Spain;0-2 years;"Front-end developer;Mobile developer";25000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Desktop or enterprise applications developer;System administrator";30400;Yearly;EUR
Spain;6-8 years;"Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Educator or academic researcher;Front-end developer;Game or graphics developer;Mobile developer";20000;Yearly;EUR
Spain;24-26 years;"Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer";39000;Yearly;EUR
Spain;12-14 years;Back-end developer;50000;Yearly;EUR
Spain;0-2 years;Front-end developer;20500;Yearly;EUR
Spain;3-5 years;Front-end developer;29000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer;Front-end developer;Full-stack developer;Student";21000;Yearly;EUR
Spain;3-5 years;Back-end developer;35000;Yearly;EUR
Spain;6-8 years;Back-end developer;40000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Front-end developer;Full-stack developer;Mobile developer;Student";25000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Data scientist or machine learning specialist";36000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Desktop or enterprise applications developer";30600;Yearly;EUR
Spain;9-11 years;"Back-end developer;Designer;Front-end developer;Full-stack developer";48000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Data or business analyst";19000;Yearly;EUR
Spain;3-5 years;Back-end developer;22000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Data or business analyst";20000;Yearly;EUR
Spain;3-5 years;"Database administrator;Designer;DevOps specialist;Front-end developer";30000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Front-end developer;Full-stack developer";25000;Yearly;EUR
